# 生日猫拼豆图纸 · 32×40（推荐入门）
尺寸: 32x40
总豆数: 680

色号 | 颜色 | RGB | 数量
A | 中棕 | (166, 110, 68) | 178
B | 深棕 | (92, 58, 36) | 103
C | 白色 | (245, 245, 245) | 85
D | 浅红 | (244, 170, 180) | 72
E | 浅棕 | (201, 154, 104) | 71
F | 米色 | (232, 208, 170) | 49
G | 粉色 | (255, 140, 170) | 37
H | 黑色 | (30, 30, 30) | 30
I | 浅蓝 | (140, 200, 230) | 16
J | 深红 | (200, 60, 70) | 15
K | 薄荷绿 | (150, 210, 170) | 15
L | 黄色 | (255, 210, 70) | 8
M | 琥珀色 | (230, 160, 50) | 1
