# 生日猫拼豆图纸 · 40×50（细节更好）
尺寸: 40x50
总豆数: 1045

色号 | 颜色 | RGB | 数量
A | 中棕 | (166, 110, 68) | 283
B | 深棕 | (92, 58, 36) | 154
C | 白色 | (245, 245, 245) | 138
D | 浅红 | (244, 170, 180) | 121
E | 浅棕 | (201, 154, 104) | 76
F | 米色 | (232, 208, 170) | 65
G | 粉色 | (255, 140, 170) | 59
H | 黑色 | (30, 30, 30) | 58
I | 浅蓝 | (140, 200, 230) | 25
J | 薄荷绿 | (150, 210, 170) | 24
K | 深红 | (200, 60, 70) | 24
L | 黄色 | (255, 210, 70) | 14
M | 琥珀色 | (230, 160, 50) | 4
